Number of documents in corpus,Document ID,Document,Number of Sentences in Document,Number of Words in Document,Number of Syllables in Document,Word1,Frequency1,Word2,Frequency2,Word3,Frequency3,Word4,Frequency4,Word5,Frequency5,Word6,Frequency6,Word7,Frequency7,Word8,Frequency8,Word9,Frequency9,Word10,Frequency10,Word11,Frequency11,Word12,Frequency12,Word13,Frequency13,Word14,Frequency14,Word15,Frequency15,Word16,Frequency16,Word17,Frequency17,Word18,Frequency18,Word19,Frequency19,Word20,Frequency20
987,237,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_3-DEPARTMENTS_AND_OTHER_ADMINISTRATIVE_BODIES-Chapter_2.90-AERO_MUSEUM.txt"")",7,79,137,.,6,of,5,the,5,",",5,-,3,to,3,and,3,2.90.010,2,Section,2,California,2,museum,2,(,2,Ord.,2,10375,2,§,2,1971,2,),2,in,2,Chapter,1,2.90,1
987,238,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_3-DEPARTMENTS_AND_OTHER_ADMINISTRATIVE_BODIES-Chapter_2.92-DEPARTMENT_OF_MUSEUM_OF_ART.txt"")",22,450,756,the,45,of,44,",",35,and,18,.,17,Museum,14,(,11,Ord.,11,§,11,),11,-,9,County,9,Associates,9,:,8,department,8,shall,8,to,8,art,7,3,7,part,7
987,239,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_3-DEPARTMENTS_AND_OTHER_ADMINISTRATIVE_BODIES-Chapter_2.94-DEPARTMENT_OF_MUSEUM_OF_NATURAL_HISTORY.txt"")",74,1301,2187,the,113,of,109,",",106,and,51,.,45,board,41,to,31,Ord.,30,§,30,shall,27,governors,25,:,23,a,22,museum,18,(,18,),18,or,17,;,16,be,15,1,14
987,240,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_3-DEPARTMENTS_AND_OTHER_ADMINISTRATIVE_BODIES-Chapter_2.96-MUSIC_CENTER.txt"")",18,203,273,",",21,.,12,the,12,Ord.,10,§,10,(,9,),9,and,8,"""",8,:,7,of,7,as,6,1966,6,-,5,Street,5,Los,5,Angeles,5,part,5,The,4,in,4
987,241,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_3-DEPARTMENTS_AND_OTHER_ADMINISTRATIVE_BODIES-Chapter_2.98-OTIS_ART_INSTITUTE.txt"")",102,1651,2511,of,121,the,117,",",106,.,78,to,50,Ord.,50,§,50,and,43,-,42,(,41,),41,:,34,shall,31,board,28,governors,26,a,26,1,25,part,24,be,23,A,21
987,242,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.120-COUNTY_OFFICES.txt"")",62,851,1255,",",57,the,56,of,42,Ord.,34,§,34,.,27,and,25,to,23,:,21,1,17,department,16,or,15,-,13,(,13,),13,in,12,;,11,such,11,offices,10,open,10
987,243,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.121-CONTRACTING_WITH_PRIVATE_BUSINESSES.txt"")",156,2824,4787,the,194,.,142,",",123,of,110,to,81,and,68,or,63,be,61,in,58,a,54,shall,49,for,49,by,46,contract,40,award,34,(,33,),33,bids,30,is,26,with,25
987,244,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.122-SUPPLIES_AND_SERVICES—DISPOSAL_OF_SALVAGE.txt"")",41,650,999,",",63,the,47,of,28,.,26,or,22,Ord.,18,§,18,and,16,to,15,department,15,by,13,shall,12,(,12,),12,-,11,:,11,for,10,services,9,be,9,3,9
987,245,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.124-PUBLICATIONS.txt"")",15,172,265,",",11,the,10,.,9,to,8,Ord.,6,§,6,public,5,(,5,),5,-,4,:,4,or,4,publication,4,at,4,shall,4,be,4,1,4,Guide,4,"""",4,price,3
987,246,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.126-SMOKING_IN_COUNTY_FACILITIES.txt"")",57,1004,1680,the,64,",",52,.,49,of,45,and,36,to,31,or,24,in,21,county,20,be,18,-,17,shall,17,a,16,as,13,facilities,12,by,12,this,12,all,11,1992,9,),9
987,247,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.128-EAVESDROPPING.txt"")",18,278,460,the,22,of,21,",",19,.,13,(,12,),12,or,9,and,8,Ord.,8,§,8,part,8,shall,6,-,5,:,5,county,5,any,5,board,4,to,4,not,4,9298,4
987,248,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.130-CATASTROPHES.txt"")",69,944,1412,",",106,of,43,.,41,or,40,the,39,to,36,and,23,(,21,Ord.,21,§,21,),21,such,18,any,18,by,16,:,15,officer,13,-,11,2.130.010,11,2.130.030,11,a,11
987,249,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.132-COMMERCIAL_MARKETING—PROMOTION_AND_ADVERTISING.txt"")",40,1012,1611,",",83,the,73,of,54,or,54,.,47,to,31,a,22,and,20,in,18,any,17,(,16,),16,be,16,"""",16,county,15,advertising,14,on,14,The,13,-,11,sign,11
987,250,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.140-CERTIFICATES_OF_INSURANCE.txt"")",6,105,194,for,7,or,6,the,6,to,6,a,4,",",4,of,4,.,3,permit,3,-,2,building,2,encroachment,2,applicant,2,required,2,as,2,county,2,liability,2,damage,2,injury,2,property,2
987,251,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.150-PERSONS_WITH_AIDS_OR_AIDS_RELATED_CONDITIONS.txt"")",5,115,190,or,8,the,7,AIDS,6,.,5,",",5,of,4,to,3,any,3,individual,3,and,3,-,2,county,2,related,2,conditions,2,shall,2,terms,2,as,2,in,2,be,2,Chapter,1
987,252,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.160-COUNTY_LOBBYISTS.txt"")",205,5109,8703,",",337,the,337,of,262,or,200,county,170,.,148,a,122,to,119,and,97,lobbyist,86,any,66,in,65,lobbying,64,for,63,shall,59,firm,57,this,55,;,49,chapter,44,is,42
987,253,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.165-TAX_AGENTS.txt"")",85,1925,3238,",",122,the,104,.,89,or,87,of,86,any,50,tax,49,agent,47,to,46,a,42,shall,33,and,33,in,26,official,26,County,24,this,21,as,21,;,19,"""",18,be,17
987,254,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.170-REQUESTS_FOR_COUNTY_RECORDS.txt"")",11,306,454,the,27,of,16,",",13,records,11,to,11,for,10,.,10,county,9,shall,8,be,8,requestor,8,a,7,in,6,provided,5,fee,5,request,4,as,4,by,4,this,4,section,4
987,255,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.175-POSTGOVERNMENT_EMPLOYMENT_AND_LOBBYING_ACTIVITIES_OF_COUNTY_OFFICIALS.txt"")",45,1190,2092,",",80,of,71,.,55,the,55,or,47,county,38,any,34,a,33,shall,25,this,23,to,23,in,21,official,19,chapter,17,agency,17,be,16,for,15,person,14,and,13,other,12
987,256,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.180-CONTRACTING_WITH_CURRENT_OR_FORMER_COUNTY_EMPLOYEES.txt"")",15,259,444,",",17,the,17,of,15,or,12,.,11,in,8,-,5,contract,5,by,5,;,5,:,4,shall,4,which,4,1,4,any,3,section,3,this,3,county,3,not,3,and,3
987,257,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.190-POLITICAL_CAMPAIGNS_FOR_COUNTY_OFFICES.txt"")",322,7317,12166,the,447,",",337,of,273,to,245,or,240,.,219,a,183,in,157,for,133,candidate,127,and,121,shall,102,election,91,that,86,any,84,be,76,this,71,office,69,funds,69,by,68
987,258,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.195-ELECTRONIC_CAMPAIGN_DISCLOSURE_FILINGS.txt"")",35,840,1403,",",43,.,39,of,35,and,33,the,33,to,32,or,27,Chapter,20,this,20,(,14,),14,reports,13,in,13,Code,13,-,12,statements,12,by,12,be,11,shall,10,1,9
987,259,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.200-LOS_ANGELES_COUNTY_CHILD_SUPPORT_COMPLIANCE_PROGRAM.txt"")",19,367,602,the,23,and,18,",",18,to,15,.,14,of,13,(,12,),12,Ord.,8,§,8,-,7,with,7,support,6,:,5,county,5,1,5,that,4,child,4,or,4,obligations,4
987,260,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.201-LIVING_WAGE_PROGRAM.txt"")",100,1961,3227,the,105,of,91,.,89,",",84,or,63,a,60,to,57,contract,39,and,37,in,37,services,31,county,29,employer,28,A,25,for,24,shall,24,this,24,any,23,(,22,),22
987,261,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.202-DETERMINATIONS_OF_CONTRACTOR_NON-RESPONSIBILITY_AND_CONTRACTOR_DEBARMENT.txt"")",95,2382,4156,the,207,",",147,of,98,a,95,.,89,or,88,contractor,72,to,70,county,60,and,55,),47,(,45,in,37,debarment,35,for,33,that,28,shall,28,any,27,board,26,by,25
987,262,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.203-CONTRACTOR_EMPLOYEE_JURY_SERVICE.txt"")",61,1150,1894,",",61,the,60,.,56,of,49,or,44,a,37,to,32,and,21,2002,21,that,18,(,17,),17,chapter,16,-,15,"""",14,county,13,1,13,shall,13,contractor,13,in,11
987,263,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.204-LOCAL_BUSINESS_ENTERPRISE_PREFERENCE_PROGRAM.txt"")",73,1444,2504,the,87,",",69,.,65,of,59,to,44,and,41,business,34,(,31,),31,small,30,or,30,a,29,shall,23,for,22,Ord.,22,§,22,in,21,enterprise,21,local,21,by,19
987,264,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.205-TRANSITIONAL_JOB_OPPORTUNITIES_PREFERENCE_PROGRAM.txt"")",71,1552,2860,the,91,",",91,.,75,of,60,to,55,and,43,a,33,(,32,),32,or,31,-,26,transitional,26,for,26,shall,25,in,21,2007,18,"""",18,1,14,county,14,The,13
987,265,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.206-DEFAULTED_PROPERTY_TAX_REDUCTION_PROGRAM.txt"")",61,1202,2078,the,76,.,63,",",53,of,46,or,44,and,37,to,33,a,25,-,23,County,22,shall,19,chapter,18,;,18,(,17,),17,2009,16,any,16,that,15,contract,15,"""",14
987,266,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.210-DOMESTIC_PARTNERSHIP_REGISTRY.txt"")",41,827,1355,the,44,.,43,of,38,",",30,county,22,partnership,21,domestic,21,by,20,to,19,a,19,clerk,19,be,17,shall,16,statement,14,and,13,The,13,(,12,),12,or,11,for,11
987,267,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_2-ADMINISTRATION-Division_4-MISCELLANEOUS_REGULATIONS-Chapter_2.211-DISABLED_VETERAN_BUSINESS_ENTERPRISE_PREFERENCE_PROGRAM.txt"")",165,2151,3594,",",157,.,132,the,92,§,73,of,69,and,58,to,54,provisions,38,on,38,1,36,;,36,see,35,for,30,or,30,Ord.,30,a,29,business,28,For,28,by,26,Code,26
987,268,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_1-WATER-Chapter_20.04-GENERAL_PROVISIONS.txt"")",167,2479,3917,.,174,",",167,the,133,of,117,1,100,"""",86,or,77,-,62,Ord.,60,§,60,(,57,),57,to,55,and,52,7834,52,Ch.,52,1960,52,Art.,51,water,42,2,39
987,269,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_1-WATER-Chapter_20.08-REGISTRATION,_AUTHORIZATION_AND_SERVICE.txt"")",116,2220,3468,the,164,",",143,of,107,.,93,water,56,to,55,and,51,1,46,shall,40,be,32,or,31,for,31,a,30,by,30,in,30,Ord.,29,§,29,utility,25,this,22,:,21
987,270,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_1-WATER-Chapter_20.09-MAINTAINING_EXISTING_WATER-EFFICIENT_LANDSCAPES.txt"")",56,938,1570,the,50,.,49,of,40,",",39,to,25,water,23,(,21,),21,in,20,audit,20,shall,17,for,16,be,15,this,14,a,12,Title,12,Chapter,11,-,11,and,11,part,11
987,271,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_1-WATER-Chapter_20.12-WATER_APPEALS_BOARD.txt"")",165,3340,5045,the,260,",",214,of,160,.,144,to,110,board,92,water,71,or,70,appeals,61,shall,59,and,58,1,57,Ord.,56,§,56,),51,(,49,a,47,any,43,be,42,by,41
987,272,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_1-WATER-Chapter_20.16-DESIGN_AND_CONSTRUCTION.txt"")",164,2545,4085,.,160,",",127,the,123,of,80,be,79,and,72,shall,65,to,59,2,54,-,51,fire,48,in,46,water,41,Ord.,41,§,41,(,38,),38,7834,35,Ch.,35,Art.,35
987,273,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_2-SANITARY_SEWERS_AND_INDUSTRIAL_WASTE-Chapter_20.20-DEFINITIONS.txt"")",202,2909,4540,",",224,.,187,the,164,"""",150,or,131,of,117,(,94,),94,-,92,Ord.,87,§,87,a,79,means,61,to,55,2,55,and,44,6130,42,Part,42,1952,42,sewer,33
987,274,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_2-SANITARY_SEWERS_AND_INDUSTRIAL_WASTE-Chapter_20.24-GENERAL_PROVISIONS.txt"")",105,1867,3108,",",149,the,101,.,90,of,79,or,57,and,54,to,48,Ord.,42,§,42,),37,shall,34,(,34,-,28,2,27,Division,26,this,26,by,26,be,25,any,25,3,25
987,275,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_2-SANITARY_SEWERS_AND_INDUSTRIAL_WASTE-Chapter_20.28-ADMINISTRATION,_PERMITS_AND_FEES.txt"")",61,1142,1774,the,84,",",70,.,42,of,42,and,30,to,29,county,26,Ord.,22,§,22,shall,21,engineer,20,be,18,(,18,),18,or,18,by,17,a,17,:,15,for,15,work,14
987,276,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_2-SANITARY_SEWERS_AND_INDUSTRIAL_WASTE-Chapter_20.32-SANITARY_SEWERS.txt"")",644,9816,14982,the,685,",",583,of,375,.,375,to,247,Ord.,212,§,211,shall,183,be,180,and,177,in,176,),175,(,173,:,157,or,151,a,150,by,133,for,132,-,124,sewer,121
987,277,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_2-SANITARY_SEWERS_AND_INDUSTRIAL_WASTE-Chapter_20.36-INDUSTRIAL_WASTE.txt"")",578,9467,15555,",",556,the,454,.,377,of,334,or,300,and,235,to,219,Ord.,162,§,161,permit,138,shall,135,a,132,),126,(,125,:,121,in,115,-,112,by,106,be,99,for,96
987,278,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_3-SEWER_MAINTENANCE_DISTRICTS*.txt"")",301,3963,6002,",",324,the,219,of,163,Ord.,148,§,144,.,141,:,118,1,113,and,88,2,83,-,77,in,70,for,66,charge,46,service,45,Zone,39,5,38,3,36,to,36,sewer,34
987,279,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.52-GENERAL_PROVISIONS.txt"")",18,294,482,the,17,.,16,of,16,",",15,to,12,waste,11,-,10,or,10,ordinance,7,and,7,any,7,solid,6,Ord.,6,§,6,in,5,Division,5,4,5,(,5,),5,for,4
987,280,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.56-DEFINITIONS.txt"")",135,2130,3766,",",231,.,117,"""",82,and,80,of,72,),72,(,68,the,58,-,55,or,54,Ord.,41,§,41,a,37,in,36,to,32,means,31,waste,30,operations,29,solid,23,Code,23
987,281,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.58-MANDATORY_SOLID_WASTE_COLLECTION_IN_HIGH_DESERT_AREA.txt"")",38,854,1394,the,53,of,47,.,38,",",34,-,25,to,22,waste,20,or,20,a,20,solid,18,and,16,for,15,with,14,(,14,2007,14,),14,be,14,in,13,this,13,permit,11
987,282,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.60-ENFORCEMENT_AGENCY.txt"")",16,303,503,",",22,and,19,.,13,the,12,-,10,of,10,for,9,waste,9,shall,8,enforcement,7,solid,6,The,5,agency,5,a,5,all,4,maintain,4,each,4,has,4,been,4,4,3
987,283,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.64-PERMIT_REQUIREMENTS_GENERALLY.txt"")",152,1789,2949,the,128,",",93,.,90,of,70,Ord.,43,§,43,:,41,or,40,shall,40,a,39,-,35,waste,35,agency,35,application,34,enforcement,31,to,30,and,29,be,26,by,23,permit,23
987,284,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.68-SOLID-WASTE_FACILITIES_PERMITS.txt"")",67,1393,2342,the,121,.,72,",",70,of,56,permit,49,-,39,to,39,and,34,shall,30,or,30,solid,28,a,26,waste,25,enforcement,19,agency,19,in,18,The,18,facilities,17,be,16,board,15
987,285,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.70-FRANCHISE_REQUIREMENTS_FOR_SOLID_WASTE_HANDLING_SERVICES.txt"")",40,1148,1819,the,96,of,72,",",63,.,37,to,29,franchise,23,or,22,in,20,and,18,a,18,franchisee,18,for,17,fee,17,waste,16,),16,(,15,shall,14,solid,13,as,12,amount,11
987,286,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.72-WASTE_COLLECTOR_PERMITS.txt"")",277,5912,9485,",",421,the,381,of,321,.,228,and,167,to,120,in,110,or,96,waste,94,said,85,Ord.,78,-,76,§,70,;,67,boundary,64,shall,62,a,62,as,61,"""",57,same,54
987,287,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.76-PERMIT_DENIAL,_REVISION,_SUSPENSION_AND_REVOCATION.txt"")",40,842,1381,the,73,.,40,",",36,of,28,a,26,permit,22,or,16,to,16,and,16,for,16,shall,14,be,14,application,13,-,12,enforcement,12,agency,12,in,12,hearing,11,after,11,waste,9
987,288,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.80-ENFORCEMENT_PROGRAM.txt"")",105,2725,4615,the,205,",",173,or,115,of,115,.,112,to,89,a,65,enforcement,59,agency,56,in,55,and,51,shall,43,any,34,an,32,such,31,permit,28,-,27,by,26,is,26,that,25
987,289,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.84-HEARINGS.txt"")",79,1882,2976,the,147,of,102,.,88,to,71,",",71,a,54,shall,51,be,47,and,45,or,43,hearing,37,by,27,in,27,may,18,any,18,The,16,which,16,permittee,16,is,16,on,15
987,290,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.86-APPEALS_AND_INJUNCTIONS.txt"")",11,158,244,the,11,of,10,",",8,to,6,.,6,any,6,or,6,-,5,by,4,(,4,Ord.,4,§,4,),4,board,3,solid,3,waste,3,for,3,Sections,2,issuance,2,a,2
987,291,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.87-CONSTRUCTION_AND_DEMOLITION_DEBRIS_RECYCLING_AND_REUSE.txt"")",161,3856,6277,",",286,the,281,of,227,.,153,and,117,or,96,to,68,project,68,a,62,),55,be,55,that,49,debris,48,(,46,"""",46,by,45,C&D,44,in,42,is,40,director,40
987,292,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.88-SOLID_WASTE_MANAGEMENT_FEE.txt"")",135,2699,4438,the,184,",",184,of,120,.,119,waste,70,or,69,and,56,for,45,shall,45,to,44,a,42,be,41,"""",36,solid,35,in,33,The,29,by,29,an,25,-,24,),24
987,293,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4-SOLID_WASTE-Chapter_20.89-SOLID_WASTE_GENERATION_SERVICE_CHARGE.txt"")",41,1042,1799,",",61,and,45,the,36,of,31,.,27,2,26,(,20,),20,-,19,3,18,service,17,5,17,1,14,property,13,solid,12,—,12,waste,11,10,11,charge,10,Los,10
987,294,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_4A-GARBAGE_DISPOSAL_DISTRICTS.txt"")",350,5936,9308,",",318,the,299,.,214,and,199,of,179,1,162,Ord.,142,2,131,§,130,),122,(,121,5,105,3,93,-,86,for,80,to,77,:,74,service,73,fee,69,District,68
987,295,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_5-FLOOD_CONTROL_DISTRICT_PROPERTY_AND_FACILITIES.txt"")",101,2513,3894,",",209,the,156,or,132,of,124,.,82,and,58,any,58,in,50,by,50,to,38,-,35,Ord.,34,§,34,a,31,District,29,not,28,such,25,(,25,),25,other,23
987,296,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_20-UTILITIES-Division_6-COUNTY_SERVICE_AREAS_AND_COMMUNITY_FACILITIES_DISTRICTS.txt"")",93,1473,2308,the,88,",",84,.,82,of,74,to,35,and,34,shall,30,for,29,(,24,),24,a,24,-,23,on,23,county,22,see,21,parcel,20,or,19,provisions,18,be,18,each,17
987,297,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_21-SUBDIVISIONS-Chapter_21.04-GENERAL_PROVISIONS.txt"")",35,659,1044,",",45,the,39,of,34,.,30,to,19,and,18,Ord.,16,§,16,or,16,1,15,in,13,this,11,shall,11,a,11,-,10,be,10,as,10,such,10,(,10,),10
987,298,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_21-SUBDIVISIONS-Chapter_21.08-DEFINITIONS.txt"")",103,1376,2058,",",108,.,79,of,62,the,60,Ord.,58,§,57,"""",44,or,39,:,36,a,36,-,34,(,32,),32,2,25,to,25,and,21,4478,18,Art.,18,1945,18,in,17
